gene_id	RK10_S47_genecounts	RK11_S48_genecounts	RK13_S49_genecounts	RK14_S50_genecounts	RK15_S51_genecounts	RK16_S52_genecounts	RK18_S53_genecounts	RK19_S54_genecounts	RK20_S55_genecounts	RK2_S40_genecounts	RK3_S41_genecounts	RK4_S42_genecounts	RK5_S43_genecounts	RK6_S44_genecounts	RK8_S45_genecounts	RK9_S46_genecounts
ENSMUSG00000000001	7213	9848	9425	9049	10076	9696	6787	9478	11962	8948	9430	13088	9486	10050	9384	8587
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	112	161	186	174	194	207	203	296	237	167	218	193	310	241	244	165
ENSMUSG00000000031	14	3	11	2	4	20	9	26	21	7	7	7	29	10	23	25
ENSMUSG00000000037	256	8	12	18	12	203	139	297	243	22	7	22	235	24	348	272
ENSMUSG00000000049	19	41	48	29	52	37	19	32	25	31	28	38	24	45	31	21
ENSMUSG00000000056	3550	3037	3483	3323	3442	3659	3025	3646	5058	2749	3051	4733	3545	3748	4374	3575
ENSMUSG00000000058	91	140	153	152	179	158	97	231	197	208	125	236	212	181	287	124
ENSMUSG00000000078	6206	10665	9030	8188	10332	8480	5281	7196	8721	7744	8190	12471	8239	8861	8458	7515
ENSMUSG00000000085	213	224	220	170	245	301	268	397	383	219	232	251	429	320	369	250
ENSMUSG00000000088	10426	15377	13626	10985	14524	9185	10542	10205	15321	8024	9706	12212	11036	15611	10403	10109
ENSMUSG00000000093	222	238	211	201	254	229	237	365	299	202	194	310	415	315	343	282
ENSMUSG00000000094	4	2	7	8	3	2	4	7	8	4	7	3	5	2	8	4
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	169	156	167	189	224	290	143	284	305	200	150	183	259	208	325	206
ENSMUSG00000000125	77	45	41	57	59	74	82	88	107	42	42	67	99	82	115	58
ENSMUSG00000000126	23	34	25	31	53	36	31	53	42	30	31	29	35	53	45	47
ENSMUSG00000000127	371	567	407	462	428	456	335	481	548	496	499	656	497	582	495	394
ENSMUSG00000000131	1390	1884	1658	1524	1783	1626	1294	1943	2042	1483	1717	2140	1951	2034	1985	1565
ENSMUSG00000000134	1539	2110	1591	1459	1736	1425	1545	1647	1887	1345	1628	2177	1742	2042	1934	1509
ENSMUSG00000000142	801	1384	1388	1196	1532	1083	847	1484	1407	1192	1588	1507	1521	1785	1347	890
ENSMUSG00000000148	421	502	484	387	487	411	478	573	564	386	437	495	498	656	576	420
ENSMUSG00000000149	879	1097	1093	880	1009	969	965	1320	1252	846	974	1167	1194	1255	1292	945
ENSMUSG00000000154	4057	4591	4371	4068	4616	3715	4207	4237	5222	2909	3873	4647	3344	5401	4186	3644
ENSMUSG00000000157	0	4	1	6	4	3	3	1	1	0	1	1	0	2	0	0
